stadium_code,race_no,race_count,avg_payout,return_rate
01,04,3875,489,489.25
01,02,3848,480,479.98
04,02,3764,477,477.19
23,09,3801,472,472.43
06,02,4154,472,471.92
04,11,3767,471,470.92
04,04,3787,469,469.47
04,08,3775,466,465.58
04,01,3765,463,462.52
04,03,3760,460,459.86
12,03,3881,459,458.69
01,01,3899,457,457.24
15,02,3722,457,456.85
07,04,3946,455,455.37
06,03,4174,455,455.21
15,03,3739,454,453.90
12,04,3886,453,452.84
07,02,3904,453,452.69
20,02,3662,453,452.58
05,02,3817,452,452.34
13,02,3812,451,451.14
03,10,3429,451,450.73
07,01,3918,451,450.66
15,04,3727,450,450.37
04,10,3762,450,450.24
05,04,3833,450,449.82
02,03,3866,449,449.29
01,03,3867,449,449.27
20,03,3701,449,449.06
02,09,3881,449,448.77
11,04,3401,448,448.20
16,03,3353,448,447.53
06,05,4174,447,447.01
02,01,3881,446,446.31
23,08,3849,446,445.55
11,02,3350,445,445.22
12,01,3888,445,444.82
08,02,3925,444,444.30
16,04,3434,443,443.17
04,09,3771,443,443.05
21,06,3542,443,442.82
13,03,3823,443,442.79
05,03,3826,443,442.72
11,07,3459,443,442.61
04,06,3790,442,442.36
17,02,3149,442,442.19
01,05,3894,441,441.39
03,02,3420,440,440.06
11,09,3453,440,439.70
02,11,3886,440,439.52
20,04,3752,439,439.20
14,04,2848,439,438.83
09,04,3523,438,438.33
04,07,3779,437,437.12
05,07,3831,437,436.82
01,09,3898,436,436.09
06,10,4176,436,435.54
03,03,3439,435,435.48
06,01,4186,435,435.30
03,01,3433,435,434.87
05,06,3847,435,434.56
16,02,3348,434,434.21
20,01,3725,434,433.75
23,05,3845,434,433.52
05,05,3844,433,433.37
01,08,3903,433,433.21
11,12,3541,433,432.88
11,11,3476,433,432.85
07,03,3919,433,432.67
04,12,3780,432,432.43
11,10,3445,432,432.33
14,10,2921,432,432.15
05,10,3837,432,432.07
01,10,3899,432,431.79
13,01,3819,431,431.39
06,04,4173,431,431.28
23,07,3824,431,430.57
06,09,4170,430,430.12
03,09,3424,430,429.97
17,03,3190,430,429.71
10,08,3657,430,429.56
14,08,2938,429,429.42
02,04,3897,429,429.26
23,04,3841,429,429.21
14,02,2776,429,428.56
11,03,3404,428,428.41
14,03,2832,428,428.41
23,06,3811,427,427.44
03,04,3455,427,427.31
11,08,3467,427,426.73
12,02,3882,426,426.27
08,03,3961,426,426.26
23,10,3806,426,426.06
06,08,4172,426,426.04
19,02,3211,426,425.56
05,08,3838,425,425.18
18,07,3332,425,425.08
02,02,3842,424,424.46
02,10,3887,424,424.40
03,05,3461,424,424.09
13,04,3820,424,423.96
04,05,3787,424,423.83
07,05,3963,424,423.73
15,05,3819,424,423.66
14,07,2956,423,422.77
17,04,3326,423,422.58
23,11,3795,423,422.53
10,11,3670,423,422.52
08,04,3966,423,422.50
17,06,3268,422,422.45
18,06,3348,422,422.36
08,01,3945,422,422.34
20,07,3904,422,421.94
10,06,3657,422,421.70
13,05,3827,421,421.30
12,06,3904,421,421.21
03,12,3322,421,420.84
02,05,3897,420,419.83
16,05,3456,420,419.82
22,05,3516,420,419.60
15,09,3783,419,418.95
14,06,2923,419,418.63
14,12,3145,418,418.25
03,08,3420,418,418.21
24,03,3799,418,417.82
17,07,3311,418,417.71
10,03,3567,417,417.22
05,11,3829,417,417.05
22,09,3582,417,416.83
02,12,3921,417,416.74
24,04,3790,417,416.68
05,01,3831,417,416.63
10,10,3625,416,416.43
09,03,3516,415,414.68
02,08,3897,414,414.05
19,03,3197,414,413.78
06,11,4177,413,413.48
22,04,3477,413,413.32
02,06,3910,413,413.16
22,07,3582,413,412.95
24,02,3785,413,412.57
05,09,3830,412,412.46
08,06,4004,412,412.02
21,10,3508,412,411.55
06,06,4174,411,411.29
11,06,3446,411,410.79
21,09,3506,411,410.64
22,01,3529,410,409.67
08,08,4001,410,409.65
22,03,3469,410,409.65
21,11,3572,410,409.59
19,04,3231,409,409.14
15,06,3820,409,409.10
15,01,3772,409,408.71
09,06,3631,409,408.71
22,06,3558,408,408.46
08,05,3998,408,408.18
12,05,3899,408,408.13
16,07,3529,408,408.12
11,01,3368,408,407.86
22,02,3425,407,407.24
20,06,3896,407,406.92
13,09,3826,406,406.27
01,07,3899,406,406.21
10,04,3589,406,406.14
01,11,3899,406,406.02
12,07,3906,405,405.38
14,09,2951,405,405.33
03,06,3468,405,405.08
06,07,4174,404,404.42
15,07,3778,404,404.31
14,11,2934,404,404.14
14,05,2960,404,403.67
08,10,3994,403,403.35
17,10,3305,403,402.76
05,12,3839,403,402.69
07,06,3979,402,402.27
12,09,3907,402,402.07
03,07,3457,401,401.39
03,11,3405,401,401.16
18,09,3327,401,401.02
19,06,3307,401,400.69
22,10,3622,401,400.66
21,07,3530,400,400.49
23,03,3831,400,400.25
07,09,3988,400,400.23
13,10,3837,400,400.03
15,10,3769,399,399.35
10,09,3636,399,399.27
18,08,3354,399,399.25
20,10,3911,399,399.04
09,10,3625,399,398.87
17,08,3312,397,397.43
18,05,3341,397,397.43
09,02,3551,397,397.18
17,05,3291,396,396.36
13,08,3837,396,396.10
08,09,3967,396,395.75
06,12,4198,395,395.48
02,07,3905,395,394.84
12,08,3904,395,394.83
10,05,3621,395,394.52
21,02,3555,394,394.34
23,12,3872,394,393.67
23,02,3816,393,393.35
21,08,3588,393,393.10
21,03,3555,392,392.24
22,12,3761,391,390.74
10,07,3683,390,389.78
10,02,3540,389,389.43
08,07,4008,388,387.73
13,06,3833,388,387.59
11,05,3475,387,387.31
16,08,3575,387,387.25
22,11,3649,387,387.20
09,08,3630,387,387.18
24,10,3807,387,386.90
20,05,3830,386,385.94
19,01,3432,386,385.93
21,12,3684,385,384.80
12,10,3908,385,384.64
20,09,3896,385,384.52
16,10,3577,384,384.43
01,06,3904,383,382.98
09,07,3634,381,380.95
07,08,3982,381,380.94
20,11,3919,381,380.89
13,07,3830,380,380.28
17,09,3262,379,378.68
18,10,3349,379,378.66
08,11,3976,379,378.53
15,11,3781,378,378.00
17,12,3604,377,377.21
21,05,3591,377,376.63
01,12,3895,375,375.34
17,11,3365,375,374.61
07,11,3985,374,374.23
17,01,3308,374,373.76
24,06,3810,374,373.61
13,12,3835,373,373.42
07,10,3981,373,372.53
19,10,3331,372,371.95
08,12,4032,372,371.71
20,12,3944,372,371.54
18,02,3286,371,370.76
20,08,3904,370,369.99
15,12,3875,370,369.76
10,12,3778,369,369.33
24,01,3804,368,368.19
21,01,3676,368,367.62
19,07,3324,361,360.90
13,11,3833,361,360.55
22,08,3641,360,360.35
16,11,3608,360,359.58
24,07,3785,359,359.23
14,01,2904,359,358.55
10,01,3740,358,358.44
23,01,3831,358,357.59
19,12,3607,356,356.43
18,11,3358,356,356.24
09,05,3601,356,356.02
19,08,3373,356,355.76
12,11,3911,354,354.15
09,11,3653,352,351.90
12,12,3908,351,351.40
07,12,3992,351,350.98
09,09,3712,350,349.78
09,01,3552,349,348.88
16,01,3509,347,347.24
19,11,3422,346,345.70
24,08,3829,344,344.39
15,08,3784,344,344.35
16,06,3508,344,343.65
18,03,3321,343,343.25
24,05,3845,341,341.38
16,09,3592,341,341.04
16,12,3728,340,340.46
24,11,3836,339,338.60
24,12,3962,338,338.34
19,05,3333,338,337.80
18,04,3336,337,336.82
24,09,3813,336,335.72
19,09,3354,336,335.60
09,12,3769,335,334.51
07,07,3986,329,328.74
18,12,3568,311,311.50
18,01,3367,305,304.74
21,04,3570,302,301.67
